X1,X2,Y,C0,X1_cat,X2_cat
0.22278156157475248,0.17780692223801609,0,0,4,5
-0.5010044093354461,1.8567259463572263,1,1,4,5
-0.5010044093354461,1.6168803714830535,0,1,4,5
1.4894070106676,0.17780692223801609,1,1,5,5
0.4037280543023021,-1.7409576767553665,0,1,4,4
0.22278156157475248,-0.5417298023845021,0,1,4,4
-0.5010044093354461,-1.7409576767553665,1,1,4,4
0.04183506884720285,0.6574980719863622,1,1,4,5
0.04183506884720285,0.8973436468605352,1,1,4,5
1.1275140252125009,-1.021420952132848,0,1,5,4
-0.1391114238803468,-1.2612665270070202,0,1,4,4
-1.0438438875180949,-0.06203865263615591,0,1,3,5
0.5846745470298518,1.8567259463572263,0,1,4,5
-0.5010044093354461,-0.06203865263615591,1,1,4,5
0.04183506884720285,-1.5011121018811933,1,1,4,4
1.8512999961226992,0.17780692223801609,1,1,5,5
0.22278156157475248,-1.2612665270070202,0,1,4,4
0.9465675324849512,0.6574980719863622,1,1,5,5
-0.8628973947905454,-0.3018842275103289,1,1,3,4
-0.32005791660789645,-1.9808032516295395,0,1,4,3
0.9465675324849512,0.4176524971121892,0,1,5,5
0.22278156157475248,-0.3018842275103289,1,1,4,4
0.04183506884720285,0.17780692223801609,0,1,4,5
0.9465675324849512,1.6168803714830535,1,1,5,5
0.9465675324849512,-0.3018842275103289,1,1,5,4
0.04183506884720285,-0.06203865263615591,1,1,4,5
-0.1391114238803468,0.4176524971121892,1,1,4,5
-0.32005791660789645,-0.7815753772586751,0,0,4,4
0.04183506884720285,-0.7815753772586751,0,1,4,4
1.4894070106676,1.3770347966088805,0,1,5,5
0.22278156157475248,-0.5417298023845021,1,1,4,4
-3.3961482929762403,-2.4604944013778844,0,0,1,3
1.1275140252125009,0.6574980719863622,0,1,5,5
0.22278156157475248,0.6574980719863622,0,1,4,5
1.1275140252125009,-2.2206488265037123,1,1,5,3
0.04183506884720285,0.6574980719863622,1,1,4,5
0.22278156157475248,-0.7815753772586751,1,1,4,4
0.5846745470298518,0.4176524971121892,0,1,4,5
0.5846745470298518,1.1371892217347084,0,1,4,5
1.6703535033951495,0.17780692223801609,1,1,5,5
-0.32005791660789645,-0.5417298023845021,1,1,4,4
-0.1391114238803468,0.17780692223801609,0,1,4,5
0.4037280543023021,-2.2206488265037123,1,1,4,3
-1.4057368729731945,0.6574980719863622,1,1,3,5
0.5846745470298518,-0.3018842275103289,1,1,4,4
1.3084605179400504,0.6574980719863622,0,1,5,5
0.4037280543023021,-0.3018842275103289,0,1,4,4
0.13230831521097766,0.8973436468605352,1,1,4,5
-0.5010044093354461,-0.5417298023845021,1,1,4,4
-0.32005791660789645,-0.3018842275103289,0,1,4,4
0.4037280543023021,0.17780692223801609,0,1,4,5
-0.5010044093354461,-0.7815753772586751,1,1,4,4
-1.0438438875180949,-0.5417298023845021,1,1,3,4
0.4037280543023021,0.6574980719863622,1,1,4,5
-0.8628973947905454,-0.7815753772586751,0,0,3,4
-0.7724241484267705,0.4176524971121892,1,1,3,5
1.1275140252125009,0.6574980719863622,1,1,5,5
0.7656210397574014,0.17780692223801609,1,1,5,5
0.9465675324849512,0.6574980719863622,0,1,5,5
-0.1391114238803468,-0.06203865263615591,0,1,4,5
1.1275140252125009,-2.4604944013778844,1,1,5,3
-0.1391114238803468,0.8973436468605352,0,1,4,5
0.9465675324849512,-0.5417298023845021,1,1,5,4
0.04183506884720285,1.1371892217347084,1,1,4,5
1.1275140252125009,-0.5417298023845021,0,1,5,4
1.1275140252125009,0.6574980719863622,0,1,5,5
-1.2247903802456446,-1.2612665270070202,0,0,3,4
-0.5010044093354461,1.1371892217347084,0,1,4,5
-1.2247903802456446,-1.2612665270070202,0,1,3,4
2.032246488850249,0.17780692223801609,1,1,5,5
2.032246488850249,0.6574980719863622,1,1,5,5
-0.1391114238803468,-0.5417298023845021,0,1,4,4
1.1275140252125009,0.6574980719863622,1,1,5,5
0.04183506884720285,0.6574980719863622,1,1,4,5
0.8560942861211762,-0.5417298023845021,0,1,5,4
0.04183506884720285,-0.7815753772586751,1,1,4,4
0.7656210397574014,0.6574980719863622,1,1,5,5
0.4037280543023021,1.1371892217347084,1,1,4,5
0.4037280543023021,-0.3018842275103289,1,1,4,4
-1.2247903802456446,0.8973436468605352,1,1,3,5
0.22278156157475248,0.8973436468605352,1,1,4,5
-1.4057368729731945,-1.021420952132848,0,1,3,4
0.4037280543023021,-1.021420952132848,1,1,4,4
-0.6819509020629957,-0.06203865263615591,0,1,3,5
-0.95337064115432,0.4176524971121892,0,1,3,5
-0.95337064115432,0.17780692223801609,1,1,3,5
0.5846745470298518,0.8973436468605352,0,1,4,5
2.032246488850249,0.4176524971121892,1,1,5,5
1.3084605179400504,-1.5011121018811933,0,1,5,4
-1.3514529251549292,-0.3018842275103289,0,1,3,4
-0.04863817751657197,0.8973436468605352,0,1,4,5
-0.1391114238803468,0.6574980719863622,1,1,4,5
-1.9485763511558432,0.4176524971121892,1,1,3,5
0.9465675324849512,0.6574980719863622,1,1,5,5
0.5846745470298518,-1.7409576767553665,0,1,4,4
-0.8628973947905454,-1.5011121018811933,0,0,3,4
-0.32005791660789645,-0.5417298023845021,1,1,4,4
-1.4057368729731945,0.6574980719863622,0,1,3,5
-0.5010044093354461,1.3770347966088805,1,1,4,5
0.22278156157475248,1.6168803714830535,1,1,4,5
-0.1391114238803468,-0.7815753772586751,1,1,4,4
0.04183506884720285,0.6574980719863622,1,1,4,5
0.4037280543023021,0.8973436468605352,0,1,4,5
0.22278156157475248,1.6168803714830535,1,1,4,5
0.04183506884720285,0.17780692223801609,0,1,4,5
0.22278156157475248,1.1371892217347084,1,1,4,5
-1.9485763511558432,-0.06203865263615591,0,1,3,5
1.4894070106676,0.17780692223801609,1,1,5,5
-0.32005791660789645,0.4176524971121892,1,1,4,5
1.1275140252125009,0.8973436468605352,1,1,5,5
0.22278156157475248,-0.7815753772586751,1,1,4,4
0.7656210397574014,-0.06203865263615591,0,1,5,5
-0.5010044093354461,0.17780692223801609,1,1,4,5
1.4894070106676,0.17780692223801609,1,1,5,5
-0.5010044093354461,0.6574980719863622,1,1,4,5
-1.7676298584282937,1.1371892217347084,0,1,3,5
0.9465675324849512,-0.06203865263615591,1,1,5,5
1.3084605179400504,0.17780692223801609,1,1,5,5
-1.0438438875180949,-0.5417298023845021,1,1,3,4
1.8512999961226992,1.3770347966088805,1,1,5,5
1.3084605179400504,0.17780692223801609,0,1,5,5
0.22278156157475248,1.6168803714830535,0,1,4,5
1.4894070106676,0.8973436468605352,1,1,5,5
0.4037280543023021,0.4176524971121892,1,1,4,5
-0.5010044093354461,-0.5417298023845021,0,1,4,4
-0.6819509020629957,0.17780692223801609,0,1,3,5
0.22278156157475248,0.8973436468605352,1,1,4,5
-0.1391114238803468,-1.5011121018811933,0,1,4,4
-0.8628973947905454,-0.06203865263615591,0,1,3,5
-0.32005791660789645,0.4176524971121892,0,1,4,5
-2.1295228438833926,1.1371892217347084,1,1,2,5
1.8512999961226992,-0.7815753772586751,1,1,5,4
