A,X1,X2,Y
1.0,1.3624345363663242,1.0176864581486296,1.0
1.0,1.1388243586349924,1.0098235456695337,0.0
1.0,1.1471828247736544,0.9796420178383195,0.0
1.0,1.092703137784383,0.972951952222904,0.0
1.0,1.2865407629324679,1.0175585521863755,0.0
1.0,0.9698461303119716,1.0145761395258823,0.0
1.0,1.374481176421648,0.9927041793032609,1.0
1.0,1.1238793099104898,0.9760154937242026,0.0
1.0,1.2319039096057098,0.9706709415916771,0.0
1.0,1.175062962452259,0.9862050782207857,0.0
1.0,1.3462107937044974,0.9980507607683327,1.0
1.0,0.9939859290502345,0.9909249697602424,0.0
1.0,1.1677582795986492,1.0128908955817226,0.0
1.0,1.1615945645331585,0.9897879393172766,0.0
1.0,1.3133769442335437,0.9928447086359696,0.0
1.0,1.090010873268597,1.0438591801816584,0.0
1.0,1.1827571792449563,0.98870255408444,0.0
1.0,1.1122141582078628,1.0058883813716453,0.0
1.0,1.2042213746715593,0.9838918460052646,0.0
1.0,1.2582815213715821,1.020552546690916,0.0
1.0,1.089938082278708,0.981728293893169,0.0
1.0,1.3144723709839614,1.0001248828414016,0.0
1.0,1.2901590720592795,1.0009050591431528,0.0
1.0,1.2502494338901868,1.0271994853552227,0.0
1.0,1.2900855949264411,0.9782928317955242,0.0
1.0,1.1316272140825667,0.9965499368447011,0.0
1.0,1.1877109774481351,0.97172737282421,0.0
1.0,1.1064230565740931,1.025819518014867,0.0
1.0,1.1732111920373984,1.0219470938798854,0.0
1.0,1.2530355466738186,1.0152784157634165,0.0
1.0,1.130833924827469,0.9769064916345569,0.0
1.0,1.1603246473144022,1.0250680839901853,0.0
1.0,1.13128272998804,1.0072577634543132,0.0
1.0,1.115479435850128,1.0318604071320467,0.0
1.0,1.132875386916318,1.0043353561678587,0.0
1.0,1.1987335401081098,1.0220041847791719,0.0
1.0,1.088268965136472,0.9948365223682429,0.0
1.0,1.2234415697817091,1.0073779674635506,0.0
1.0,1.365980217710987,0.9964414786834376,1.0
1.0,1.2742044160577335,0.9855490921751134,0.0
1.0,1.1808164447638385,1.0143573733100357,0.0
1.0,1.1112371035915163,1.0164796369806535,0.0
1.0,1.1252841706249161,0.9403032772745832,0.0
1.0,1.3692454601027746,0.951996360767943,1.0
1.0,1.205080775477603,1.0359520705267544,0.0
1.0,1.1363004353430646,1.0301790954519847,0.0
1.0,1.2190915484667466,1.003753354784994,0.0
1.0,1.4100255136478843,1.0000728225674314,1.0
1.0,1.2120158952481628,1.0249617550188928,0.0
1.0,1.2617203109707418,0.9986277846110838,0.0
1.0,1.2300170319955828,1.0328918483884864,0.0
1.0,1.164775015350648,1.0207417220790302,0.0
1.0,1.085748180197786,1.0154291952507626,0.0
1.0,1.1650657277587122,0.9893914025712056,0.0
1.0,1.179110576662522,1.01559006038472,0.0
1.0,1.2586623191182198,0.9770204783727022,0.0
1.0,1.2838983413874505,1.0142903128830019,0.0
1.0,1.2931102081303556,0.9990998048819982,0.0
1.0,1.228558732525426,0.9761628092855472,0.0
1.0,1.2885141164270728,0.9766214401613688,0.0
1.0,1.1245602059003348,1.0028656048037408,0.0
1.0,1.3252868155233288,0.9926765070133531,0.0
1.0,1.2512929820418008,1.0100437134007245,0.0
1.0,1.1701907164897283,1.005516476914219,0.0
1.0,1.2488518146537497,0.9808787524950769,0.0
1.0,1.1924428286978943,0.9969222836305387,0.0
1.0,1.3131629387451427,1.0131255794952867,0.0
1.0,1.3519816816422199,1.0048097692045594,1.0
1.0,1.4185575406533162,0.9983803091470839,1.0
1.0,1.0603503664511862,1.0207144401750228,0.0
1.0,1.055588619457041,1.0235936409757436,0.0
1.0,1.149553413705355,1.0163994680059127,0.0
1.0,1.216003706944783,0.9771341135394982,0.0
1.0,1.2876168921116224,0.994860501576244,0.0
1.0,1.2315634947241605,1.0079111916418557,0.0
1.0,0.9977798784175996,0.9647635164347416,0.0
1.0,1.1693795987371627,1.009588280327949,0.0
1.0,1.2827974642607245,0.994021279104591,0.0
1.0,1.2230094735364383,1.032778982067594,0.0
1.0,1.2762011180312025,1.0121044085990125,0.0
1.0,1.177767185738964,1.0024295475844887,0.0
1.0,1.1799241931070001,1.0087192990195557,0.0
1.0,1.2186561390988284,0.9873479578727841,0.0
1.0,1.2410051647208256,1.015451158027887,0.0
1.0,1.2198299720126768,1.0371383062902075,0.0
1.0,1.2119008645807459,1.040042640334193,0.0
1.0,1.132933771371097,1.0027411652730824,0.0
1.0,1.237756378632092,0.9910764731281846,0.0
1.0,1.2121821270991437,1.0281882388164698,0.0
1.0,1.3129483907911919,1.0000096035961887,0.0
1.0,1.3198917879901506,1.0021588963770949,0.0
1.0,1.2185156417483944,0.9852330680908482,0.0
1.0,1.1624715049909886,1.0246455332306545,0.0
1.0,1.1361269592545777,0.956525333969637,0.0
1.0,1.2423494354064113,0.9595798531892816,0.0
1.0,1.2077340068348559,0.9869764836320633,0.0
1.0,1.1656146324428924,0.9971860049790482,0.0
1.0,1.2043596856834247,0.9813344893380365,0.0
1.0,1.137999915605187,0.9835395732556762,0.0
1.0,1.2698032034072217,1.0085709956213356,0.0
1.0,1.1552871435214,1.0341940171165607,0.0
1.0,1.32245077048055,0.9688894842670396,0.0
1.0,1.24034916417908,1.0118274724795793,0.0
1.0,1.2593578523237066,1.0072240556305538,0.0
1.0,1.0905088154258957,1.0269597118098968,0.0
1.0,1.2169382433058669,0.9804587230751906,0.0
1.0,1.2740556451096274,0.9786006201878797,0.0
1.0,1.1046299398192065,0.9860295252570099,0.0
1.0,1.1733781493996378,0.983253812179654,0.0
1.0,1.2032614546693359,0.9939701251982619,0.0
1.0,1.0626882679753245,1.0136472795768354,0.0
